ID,Channel,StartTime,EndTime
id_1,channel_12,2004-12-01T20:42:15.429Z,2004-12-08T22:55:45.429Z
id_1,channel_13,2004-12-01T20:42:15.429Z,2004-12-08T22:55:45.429Z
id_1,channel_14,2004-12-01T20:43:45.429Z,2004-12-02T02:57:15.429Z
id_1,channel_15,2004-12-01T20:45:00.429Z,2004-12-02T02:58:45.429Z
id_1,channel_16,2004-12-01T20:43:45.429Z,2004-12-16T16:52:30.429Z
id_1,channel_17,2004-12-01T20:45:00.429Z,2004-12-08T22:55:45.429Z
id_1,channel_18,2004-12-01T20:45:00.429Z,2004-12-08T22:55:45.429Z
id_1,channel_19,2004-12-01T20:47:03.429Z,2004-12-08T22:55:45.429Z
id_1,channel_20,2004-12-01T20:45:00.429Z,2004-12-08T22:55:45.429Z
id_1,channel_21,2004-12-01T20:45:00.429Z,2004-12-02T02:57:15.429Z
id_1,channel_22,2004-12-01T20:45:00.429Z,2004-12-02T02:57:15.429Z
id_1,channel_23,2004-12-01T20:45:00.429Z,2004-12-02T02:58:45.429Z
id_1,channel_24,2004-12-01T20:43:45.429Z,2004-12-16T16:52:30.429Z
id_1,channel_25,2004-12-01T20:43:45.429Z,2004-12-08T22:55:45.429Z
id_1,channel_26,2004-12-01T20:42:15.429Z,2004-12-08T22:55:45.429Z
id_1,channel_27,2004-12-01T20:43:45.429Z,2004-12-08T22:55:45.429Z
id_1,channel_28,2004-12-01T20:43:45.429Z,2004-12-08T22:55:45.429Z
id_1,channel_29,2004-12-01T20:45:00.429Z,2004-12-02T02:57:15.429Z
id_1,channel_30,2004-12-01T20:45:00.429Z,2004-12-02T02:58:45.429Z
id_1,channel_31,2004-12-01T20:42:15.429Z,2004-12-02T02:57:15.429Z
id_1,channel_32,2004-12-01T20:42:15.429Z,2004-12-16T16:52:30.429Z
id_1,channel_33,2004-12-01T20:45:00.429Z,2004-12-16T16:52:30.429Z
id_1,channel_34,2004-12-01T20:45:00.429Z,2004-12-08T22:55:45.429Z
id_1,channel_35,2004-12-01T20:45:00.429Z,2004-12-08T22:55:45.429Z
id_1,channel_36,2004-12-01T20:43:45.429Z,2004-12-08T22:55:45.429Z
id_1,channel_37,2004-12-01T20:43:45.429Z,2004-12-08T22:55:45.429Z
id_1,channel_38,2004-12-01T20:43:45.429Z,2004-12-02T02:57:15.429Z
id_1,channel_39,2004-12-01T20:45:09.429Z,2004-12-02T02:57:15.429Z
id_1,channel_40,2004-12-01T20:43:45.429Z,2004-12-16T16:52:30.429Z
id_1,channel_41,2004-12-02T03:07:17.646Z,2004-12-08T23:35:55.146Z
id_1,channel_42,2004-12-02T03:07:17.646Z,2004-12-08T23:35:55.146Z
id_1,channel_43,2004-12-02T03:07:17.646Z,2004-12-08T23:35:55.146Z
id_1,channel_44,2004-12-02T03:07:17.646Z,2004-12-08T23:35:55.146Z
id_1,channel_45,2004-12-02T03:07:17.646Z,2004-12-08T23:35:55.146Z
id_1,channel_46,2004-12-02T03:07:17.646Z,2004-12-08T23:27:55.146Z
id_1,channel_47,2004-12-02T03:07:55.146Z,2004-12-09T01:48:25.146Z
id_1,channel_48,2004-12-02T03:07:55.146Z,2004-12-09T03:22:25.146Z
id_1,channel_49,2004-12-02T03:07:55.146Z,2004-12-09T02:51:55.146Z
id_1,channel_50,2004-12-02T03:08:37.527Z,2004-12-09T02:47:37.524Z
id_1,channel_51,2004-12-02T03:07:07.527Z,2004-12-09T01:35:37.524Z
id_1,channel_52,2004-12-02T03:08:37.527Z,2004-12-09T01:17:37.524Z
id_1,channel_57,2004-12-01T23:16:32.640Z,2004-12-16T16:52:30.429Z
id_1,channel_58,2004-12-01T23:16:32.640Z,2004-12-16T16:52:30.429Z
id_1,channel_59,2004-12-01T23:16:32.640Z,2004-12-16T16:52:30.429Z
id_1,channel_60,2004-12-01T23:16:32.640Z,2004-12-16T16:52:30.429Z
id_1,channel_70,2004-12-02T02:49:44.256Z,2004-12-08T20:19:44.256Z
id_1,channel_71,2004-12-02T09:32:58.140Z,2004-12-09T02:15:28.140Z
id_1,channel_72,2004-12-02T02:14:12.015Z,2004-12-08T21:30:42.015Z
id_1,channel_73,2004-12-02T05:23:55.890Z,2004-12-08T15:22:55.887Z
id_1,channel_74,2004-12-02T02:14:09.765Z,2004-12-09T11:21:09.765Z
id_1,channel_75,2004-12-02T13:29:53.640Z,2004-12-08T20:31:23.640Z
id_1,channel_76,2004-12-02T01:38:37.515Z,2004-12-09T11:09:07.515Z
id_2,channel_14,2001-08-30T06:27:15.570Z,2001-08-30T09:22:45.570Z
id_2,channel_21,2001-08-30T06:27:15.570Z,2001-08-30T09:22:45.570Z
id_2,channel_29,2001-08-30T06:27:15.570Z,2001-08-30T09:22:45.570Z
id_3,channel_14,2001-11-24T17:31:45.561Z,2001-11-25T00:16:45.561Z
id_3,channel_21,2001-11-24T17:31:45.561Z,2001-11-24T22:10:45.561Z
id_3,channel_29,2001-11-24T17:31:45.561Z,2001-11-24T22:36:15.561Z
id_4,channel_14,2000-04-27T20:54:18.621Z,2000-04-28T02:24:18.621Z
id_4,channel_21,2000-04-27T20:54:18.621Z,2000-04-28T02:15:18.621Z
id_4,channel_29,2000-04-27T20:54:18.621Z,2000-04-28T02:33:18.621Z
id_5,channel_14,2001-07-30T18:52:45.573Z,2001-07-30T22:31:45.573Z
id_5,channel_21,2001-07-30T18:54:15.573Z,2001-07-31T02:12:15.573Z
id_5,channel_29,2001-07-30T18:57:15.573Z,2001-07-30T23:25:45.573Z
id_6,channel_14,2001-12-17T07:57:15.558Z,2001-12-17T11:27:15.558Z
